date,Temperature,value,Laborable,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
2014-02-20,11.0375,30684.01388888889,1,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668
2014-02-21,10.59375,27460.569444444445,1,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333
2014-02-22,10.025,25353.3125,0,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889
2014-02-23,10.74375,30633.479166666668,0,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889
2014-02-24,10.5,31399.729166666668,1,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777
2014-02-25,10.675,31143.131944444445,1,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223
2014-02-26,10.01875,31169.45833333333,1,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223
2014-02-27,10.46875,30506.95138888889,1,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889
2014-02-28,11.79375,28182.45138888889,1,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111
2014-03-01,11.35,25153.98611111111,0,28182.45138888889,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555
2014-03-02,13.74375,30109.993055555555,0,25153.98611111111,28182.45138888889,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223
2014-03-03,11.50625,31147.45138888889,1,30109.993055555555,25153.98611111111,28182.45138888889,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668
2014-03-04,10.8875,30438.17361111111,1,31147.45138888889,30109.993055555555,25153.98611111111,28182.45138888889,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111
2014-03-05,13.4125,29867.11111111111,1,30438.17361111111,31147.45138888889,30109.993055555555,25153.98611111111,28182.45138888889,30506.95138888889,31169.45833333333,31143.131944444445,31399.729166666668,30633.479166666668,25353.3125,27460.569444444445,30684.01388888889,30986.916666666668,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111
